Rate Date,Currency,Rate Year,Rate Month,Buying Rate,Central Rate,Selling rate
3/7/2003,WAUA,2003,March,172.1906,172.8728,173.555
11/10/2017,EURO,2017,November,355.1753,355.7576,356.34
12/18/2015,POUNDS STERLING,2015,December,292.4516,293.1977,293.9437
7/15/2020,POUNDS STERLING,2020,July,454.824,455.4557,456.0874
7/3/2023,US DOLLAR,2023,July,745.89,746.39,746.89
11/21/2019,EURO,2019,November,339.1456,339.6998,340.2541
9/13/2013,WAUA,2013,September,234.4369,235.1943,235.9517
2/5/2019,WAUA,2019,February,426.8789,427.5771,428.2753
8/16/2004,EURO,2004,August,162.5851,163.2522,163.9193
9/26/2002,US DOLLAR,2002,September,125.25,125.75,126.25
5/9/2011,POUNDS STERLING,2011,May,249.1491,249.9677,250.7863
9/13/2004,EURO,2004,September,161.2799,161.8916,162.5032
10/3/2013,WAUA,2013,October,236.9268,237.6923,238.4578
6/27/2024,WAUA,2024,June,1968.7656,1969.4164,1970.0671
3/9/2020,US DOLLAR,2020,March,306.0,306.5,307.0
3/27/2023,EURO,2023,March,495.5803,496.1192,496.658
2/7/2002,EURO,2002,February,98.0878,98.5211,98.9543
11/6/2009,US DOLLAR,2009,November,148.63,149.13,149.63
12/12/2023,EURO,2023,December,915.3789,915.9185,916.458
7/13/2018,US DOLLAR,2018,July,304.8,305.3,305.8
6/21/2018,WAUA,2018,June,428.4903,429.1932,429.8961
8/13/2018,WAUA,2018,August,423.6351,424.3294,425.0238
6/16/2003,EURO,2003,June,150.5779,151.1711,151.7643
6/18/2008,POUNDS STERLING,2008,June,226.6081,227.5879,228.5677
8/17/2023,EURO,2023,August,811.5278,812.0725,812.6172
4/12/2017,US DOLLAR,2017,April,305.1,305.6,306.1
10/27/2011,POUNDS STERLING,2011,October,238.7185,239.5193,240.3201
4/25/2023,POUNDS STERLING,2023,April,571.9727,572.5944,573.2162
9/20/2013,EURO,2013,September,209.1272,209.8028,210.4785
11/19/2003,US DOLLAR,2003,November,137.2,137.7,138.2
1/26/2010,EURO,2010,January,207.9073,208.6115,209.3156
8/27/2002,EURO,2002,August,121.5716,122.0598,122.548
7/24/2017,WAUA,2017,July,424.4822,425.1787,425.8751
8/13/2008,WAUA,2008,August,182.7678,183.5585,184.3491
11/18/2021,US DOLLAR,2020,November,410.59,411.09,411.59
4/12/2024,POUNDS STERLING,2024,April,1416.4065,1417.0288,1417.651
